"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)케이엠원","1.11381004180966","TRUE","4952.04427083281","0","131.070312500019","3048.03950851673","581.320662325007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.309895833332238","0","0","0","0","0","0","0","0","0","0","0","0.690104166667907","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠투","1.04780098933904","TRUE","5625.31253071224","0","41.2476658475816","1873.37681878413","592.358105483414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.996068796069142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00393120393040862","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠파이브","1.07425926884535","TRUE","5721.29307926635","0","0","2438.32993666146","643.928964275742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.267575011688247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.458135958860213","0.274289029451632","0","0","0","0","0","0","0","0","0"
"(주)케이엠파킹앤스페이스","1.15618884535436","TRUE","13224.260160074","0","1799.78361967847","1127.37108575967","0","778.067107354666","0","0","0","0","0","0","0.535672393569398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.464327606430703","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠포","1.09918090382648","TRUE","5926.97072164489","0","0","2811.69721317587","593.913022702901","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.203138022349692","0","0","0","0","0","0","0","0","0","0","0","0.532485414951867","0.264376562708907","0","0","0","0","0","0","0","0","0"
"(주)키위바인","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(주)파괴연구소","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(주)플레이하드","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"(주)필연매니지먼트","1.1147733682651","TRUE","5897.05989583281","0","45.7421875000251","2949.44403654005","505.230385961311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.419270833332202","0","0","0","0","0","0","0","0","0","0","0","0.5807291666679","0","0","0","0","0","0","0","0","0","0"
"(주)하이업엔터테인먼트","1.09662422557049","TRUE","537.405129024377","0","239.857043312839","1574.39513143803","0","0","0","0","0","0","0","0","0.125820731946542","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.811331094848586","0","0","0","0","0","0","0","0","0","0","0","0.0628481732045205","0","0","0","0","0","0","0","0","0","0"
"글링크미디어(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"동고택시(주)","1.08362028079592","TRUE","809.228255527675","0","2.15257985252974","2855.54646923328","857.188998756253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.283292383292879","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.716707616707197","0","0","0","0","0","0","0","0","0","0"
"메가몬스터(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"오오티비(주)","1.1044346872892","TRUE","3315.09374999948","0","136.031250000038","2459.11275537226","320.603663754657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.656249999998795","0","0","0","0","0","0","0","0","0","0","0","0.34375000000121","0","0","0","0","0","0","0","0","0","0"
"케이피보험서비스(주)","1.16715480387092","TRUE","0","0","28.3373413650732","4803.28501222283","712.672651893149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.137847415804747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.363239012233364","0","0","0","0","0.498913571961882","0","0","0","0","0"
"트리플라(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
