"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)카카오벤처스","3.43873251377955","TRUE","151461.937236354","0","0","0","59640.2349188593","61015.0917141494","0","0","0","0","0","0","1.18850516752846","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.49766016062947","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠세븐","1.43955456033438","TRUE","4546.03756276087","0","0","0","506.47531045018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.200974730174806","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.296753115835385","0.853736536206324","0","0","0","0","0","0","0","0","0"
"(주)케이엠솔루션","1.24787053858895","TRUE","0","0","0","0","122883.822355963","127193.260348861","0","0","0","0","0","0","0","0","0","0","2.8065137877262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.543378581495158","0","0","0","0","0","0","0","0","0","0","0","1.39467108865118","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠식스","1.41270548058885","TRUE","7177.71777942378","0","0","0","369.946201021944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0409410854556957","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.214826377461146","1.06766882880446","0","0","0","0","0","0","0","0","0"
"(주)케이엠쓰리","1.34817835379766","TRUE","5884.63241980292","0","0","316.796240874002","191.211892769727","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00936778175074133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.25436238618127","0","0","0","0","0","0","0","0","0"
"(주)케이엠원","1.58688978080223","TRUE","4046.83451997396","0","74.4874257762852","0","1058.03021860869","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.495027745185022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.975076295476208","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠투","1.05421878927734","TRUE","5610.87650360935","0","40.2365677626029","1860.02410361695","595.043639051206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.00641539695217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠파이브","1.20806494582968","TRUE","5566.37048221279","0","0","1099.03273034251","323.429134409478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.346620410419889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.798457134194018","0","0","0","0","0","0","0","0","0"
"(주)케이엠파킹앤스페이스","1.51016374695991","TRUE","19523.2049055462","0","1640.53321145655","0","65647.4435283058","68265.397017007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.36547836684821","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠포","1.40361666407951","TRUE","5601.41179004153","0","0","0","293.055615165744","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0784976397430491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0894501381765777","1.14998623008623","0","0","0","0","0","0","0","0","0"
"(주)키위바인","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(주)파괴연구소","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(주)플레이하드","1.21576133742978","TRUE","0","0","115.810476697355","0","34889.9956222046","37139.2624519004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.61763402268906","0","0","0","0","0","0","0","0","0","0","0","0.638377070787026","0","0","0","0","0","0","0","0","0","0"
"(주)필연매니지먼트","1.57195376394919","TRUE","5100.45557541266","0","0","0","1055.41520429269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.360481387457788","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0511300555006","0.0399816704669046","0","0","0","0","0","0","0","0","0"
"(주)하이업엔터테인먼트","1.42765516809091","TRUE","1455.28046922654","0","180.964046313295","0","21836.228951867","21533.8283978085","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.98278488726311","0","0","0","0","0","0","0","0","0","0"
"글링크미디어(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"동고택시(주)","1.3038886389908","TRUE","538.963987907753","0","0","653.995798822751","366.23945163153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.427534357747853","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.810432626707611","0","0","0","0","0","0","0","0","0"
"메가몬스터(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"오오티비(주)","1.50387756262663","TRUE","2761.0535666723","0","111.664283833804","0","1108.22662618146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0714934880788826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.31835698365754","0","0","0","0","0","0","0","0","0","0"
"케이피보험서비스(주)","1.39297286035398","TRUE","0","0","3.27319751803059","3912.89259037015","593.074535905859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.172052720017815","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.04279643157722","0","0","0","0","0"
"트리플라(주)","1.26970419383935","TRUE","0","0","307.201530524758","0","49089.4188560354","51543.9810935874","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.73716001911643","0","0","0","0","0","0","0","0","0","0","0","0.987607649061899","0","0","0","0","0","0","0","0","0","0"
